review_id,clause_id,review_clauses,expert_labels
14803,298,we bought the dollars 100 book and never touch it.,4
14803,297,he almost never gives examples with numbers.,13
13964,260,roughly a 55 percent avg.,2
2648,234,i failed business calc the first time but after taking him i actually started understanding.,1
16754,4,highly recommended!,4
7373,166,great teacher if you are interested in physics.,1
19992,108,really nice guy and very passionate!,14
17265,53,very very cool teacher!,1
551,359,he gives a lot of extra credit for showing up to review sessions and open labs and will explain things you have problems with.,21
16136,303,need to show up to class.,3
12759,140,she is really passionate about it.,4
16473,282,so we really never discussed anything of importance.,14
15462,238,and he's awesome as ever.,4
19070,274,before this class i really hated math.,14
3250,14,if you can take this course with someone else do so.,4
2062,271,impossible material impossible assignments impossible exams.,3
817,228,[instructor] is a nice old man with impeccable hebrew pronunciation.,41
19941,175,paper is extremely easy emphasize the extremely.,3
17849,295,he relies on powerpoint for instruction and is lazy.,14
717,124,there are only 10 electronic journals and two 3 4 page papers in this class so its a breeze.,3
3008,330,i was literally shaking before each evaluation.,34
6954,195,the world of chemistry comes easy to ms [instructor] and she give the impression that it should come easy to everyone.,31
2919,287,i took three semesters with him if i have any math class i will take with him with pleasure [emoji],1
13214,83,you have to work your ass off if you expect to have a good grade.,3
18516,149,he says yo a lot xd lol his class is really easy,34
18487,181,she is a very good profesor.,1
9818,147,i would take another class of hers in a heartbeat.,1
7091,220,uses my math lab so if you dont have alot of spare time do not take.,3
9628,242,ec to pass...,4
1179,135,[emoji],4
7471,208,she's such a wonderful lady.,4
13411,94,she doesn't teach that much,1
13010,105,to get an a just understand the material,32
18278,118,i learned so much in this class.,1
18818,190,his lectures are wonderful!,1
14803,296,he definitely shouldn't be teaching calc.,1
17265,58,he teached me how to write essays properly.,1
19941,180,stay for the movies questions will be on tests!,4
3121,246,not the most famous con law professor at [institution] but far more engaged in teaching than [other instructor].,41
7170,211,i took elementary algebra in [institution] and thought that was good.,4
13387,11,but you have to show up for iclicker points.,34
4462,249,i have had her for several classes in my graduate program.,4
7471,209,the textbook she used was very relevant and great for the class.,1
12759,139,it's easy fun and informative.,314
1043,365,there are 3 exams and a final,32
16473,284,she shows favoritism and if you're not on her good side you won't do well.,24
18982,376,i had to take this class because i failed mat1033 three times that's how bad i was doing at math.,4
2079,52,[emoji] yey [instructor]!!!,4
13387,10,i showed up to lecture and sat on my phone the whole time,34
17265,55,he is extremely helpful and super fun.,14
8097,192,you only need the access code really no point in buying the book since you can get the code separately.,1
307,321,especialy if you have to take organic chemistry with this class.,4
8880,357,he really loves what he does and shows it in his teaching.,1
532,45,excellent teacher.,1
2501,350,take this class!!,4
7170,213,i have the cds at home,4
6518,381,his econ 104 class was easy as pie.,3
16754,2,as long as you are good which if you aren't why are you an art major?,34
8840,306,he pretty much expects you to go to class as he often covers important concepts at the beginning of class which he forgets to record.,1
307,319,wrong guy!,4
15818,132,nice nice professor.,1
4264,5,awesome director of chamber winds!!,4
